,,,,,,,,,,,,,,,,,,,날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,,,,,,,,,,,,,,,,,,,
2022-11-03,34,30,26,32,19,22,34,35,28,24,32,25,22,25,26,24,24,,,,,,,,,,,,,,,,,,,
2022-11-04,25,25,30,21,22,33,32,27,29,32,30,34,21,30,24,25,27,,,,,,,,,,,,,,,,,,,
2022-11-05,22,25,26,21,21,26,24,25,21,25,25,24,22,26,24,28,23,,,,,,,,,,,,,,,,,,,
2022-11-06,21,24,23,22,19,22,24,25,17,23,24,23,18,22,22,20,21,,,,,,,,,,,,,,,,,,,
2022-11-07,21,19,21,24,21,18,20,24,15,21,28,25,22,20,21,27,24,,,,,,,,,,,,,,,,,,,
2022-11-08,14,23,19,18,17,14,23,17,14,15,20,17,19,19,20,33,15,,,,,,,,,,,,,,,,,,,
2022-11-09,15,28,24,17,21,18,31,18,17,20,24,21,21,26,25,31,19,,,,,,,,,,,,,,,,,,,
2022-11-10,18,25,23,20,25,21,25,21,18,22,28,23,24,25,24,29,24,,,,,,,,,,,,,,,,,,,
2022-11-11,21,23,22,23,29,20,22,25,19,23,32,30,25,23,23,31,24,,,,,,,,,,,,,,,,,,,
2022-11-12,34,31,41,32,35,33,30,40,30,41,35,41,31,32,31,36,31,,,,,,,,,,,,,,,,,,,
2022-11-13,26,33,30,26,21,23,32,31,29,27,27,24,22,30,27,26,24,,,,,,,,,,,,,,,,,,,
2022-11-14,33,31,41,33,27,34,33,38,28,41,36,41,27,36,31,27,34,,,,,,,,,,,,,,,,,,,
2022-11-15,31,33,31,28,,38,30,38,24,34,41,32,22,30,29,25,41,,,,,,,,,,,,,,,,,,,
2022-11-16,36,27,41,36,38,48,24,27,26,42,53,49,29,30,30,22,53,,,,,,,,,,,,,,,,,,,
2022-11-17,29,32,35,26,33,38,32,35,23,42,42,42,29,33,30,26,41,,,,,,,,,,,,,,,,,,,
2022-11-18,28,29,31,28,30,32,30,33,25,36,36,34,28,30,27,32,31,,,,,,,,,,,,,,,,,,,
2022-11-19,58,34,43,58,41,27,41,63,41,47,61,51,31,41,32,30,48,,,,,,,,,,,,,,,,,,,
2022-11-20,62,38,47,63,47,58,40,70,41,62,72,62,41,41,41,38,65,,,,,,,,,,,,,,,,,,,
2022-11-21,43,35,48,55,41,41,34,55,34,49,67,49,33,41,38,25,54,,,,,,,,,,,,,,,,,,,
2022-11-22,65,31,49,58,54,27,35,69,56,54,62,53,47,40,41,57,49,,,,,,,,,,,,,,,,,,,
2022-11-23,26,30,25,22,28,24,27,28,31,28,27,26,27,28,23,42,23,,,,,,,,,,,,,,,,,,,
2022-11-24,26,21,23,23,21,23,18,29,25,27,27,23,19,25,19,25,24,,,,,,,,,,,,,,,,,,,
2022-11-25,29,22,25,28,28,24,20,33,25,30,32,30,26,25,24,33,29,,,,,,,,,,,,,,,,,,,
2022-11-26,49,32,38,47,40,41,32,57,41,54,51,27,30,36,31,29,27,,,,,,,,,,,,,,,,,,,
2022-11-27,76,48,61,57,56,65,46,80,56,82,65,61,46,53,42,42,71,,,,,,,,,,,,,,,,,,,
2022-11-28,48,80,66,36,60,57,76,57,57,73,56,65,54,69,65,58,61,,,,,,,,,,,,,,,,,,,
2022-11-29,38,42,38,38,25,34,34,43,29,38,36,31,24,36,33,25,34,,,,,,,,,,,,,,,,,,,
2022-11-30,43,26,33,27,41,41,25,49,26,42,53,27,34,28,29,30,27,,,,,,,,,,,,,,,,,,,
2022-12-01,43,21,31,42,22,20,25,38,31,30,26,20,21,30,28,19,25,,,,,,,,,,,,,,,,,,,
2022-12-02,42,42,42,40,41,28,42,42,41,33,41,33,40,43,40,49,25,,,,,,,,,,,,,,,,,,,
2022-12-03,21,28,27,19,26,23,26,24,21,24,25,24,24,28,24,36,22,,,,,,,,,,,,,,,,,,,
2022-12-04,29,22,26,31,24,29,21,33,24,28,32,27,20,24,21,23,27,,,,,,,,,,,,,,,,,,,
2022-12-05,36,33,27,32,32,40,35,41,32,27,41,34,28,41,29,23,42,,,,,,,,,,,,,,,,,,,
2022-12-06,27,38,65,42,42,54,27,54,35,55,55,43,38,47,41,29,64,,,,,,,,,,,,,,,,,,,
2022-12-07,85,42,57,74,60,61,40,89,61,70,79,64,48,55,42,41,64,,,,,,,,,,,,,,,,,,,
2022-12-08,58,61,58,49,58,60,62,61,56,61,58,60,57,66,54,68,54,,,,,,,,,,,,,,,,,,,
2022-12-09,26,24,29,23,28,28,23,30,23,28,29,27,22,27,24,24,26,,,,,,,,,,,,,,,,,,,
2022-12-10,27,32,33,28,27,30,31,34,24,31,34,28,22,30,26,26,30,,,,,,,,,,,,,,,,,,,
2022-12-11,41,31,46,40,29,36,33,47,28,40,40,33,25,35,31,26,38,,,,,,,,,,,,,,,,,,,
2022-12-12,63,27,51,58,35,42,26,66,33,49,57,43,29,41,31,25,54,,,,,,,,,,,,,,,,,,,
2022-12-13,74,38,57,70,49,58,41,81,27,68,66,56,41,51,40,25,73,,,,,,,,,,,,,,,,,,,
2022-12-14,69,38,54,64,54,57,38,72,40,61,64,60,43,48,42,43,62,,,,,,,,,,,,,,,,,,,
2022-12-15,72,22,42,72,41,49,25,75,40,53,71,60,34,41,29,29,64,,,,,,,,,,,,,,,,,,,
2022-12-16,68,27,66,63,48,81,51,79,68,89,83,71,43,64,27,30,94,,,,,,,,,,,,,,,,,,,
2022-12-17,61,49,85,60,49,55,56,71,61,68,66,60,46,66,56,24,72,,,,,,,,,,,,,,,,,,,
2022-12-18,40,41,58,30,26,41,42,36,40,40,30,26,30,47,38,30,34,,,,,,,,,,,,,,,,,,,
2022-12-19,17,23,12,17,15,13,19,17,13,16,19,15,17,15,14,29,14,,,,,,,,,,,,,,,,,,,
2022-12-20,22,19,19,20,20,21,19,22,16,23,25,21,18,19,18,28,20,,,,,,,,,,,,,,,,,,,
2022-12-21,27,22,29,28,20,24,24,29,21,28,34,27,19,28,22,25,25,,,,,,,,,,,,,,,,,,,
2022-12-22,25,18,21,23,18,20,18,25,15,21,25,25,15,20,19,21,20,,,,,,,,,,,,,,,,,,,
2022-12-23,25,21,23,20,20,24,19,26,21,25,24,21,18,22,20,25,21,,,,,,,,,,,,,,,,,,,
2022-12-24,27,28,31,22,16,26,25,31,25,32,27,21,16,27,25,16,26,,,,,,,,,,,,,,,,,,,
2022-12-25,38,31,33,36,27,36,27,42,28,41,38,32,21,31,26,18,41,,,,,,,,,,,,,,,,,,,
2022-12-26,58,42,47,54,42,51,40,61,35,57,57,49,41,43,41,35,55,,,,,,,,,,,,,,,,,,,
2022-12-27,41,41,38,35,41,42,33,42,32,48,41,42,30,38,34,34,42,,,,,,,,,,,,,,,,,,,
2022-12-28,22,23,21,20,17,21,23,23,22,24,22,20,16,24,19,21,20,,,,,,,,,,,,,,,,,,,
2022-12-29,24,17,16,21,17,19,16,26,21,26,25,20,15,20,16,16,22,,,,,,,,,,,,,,,,,,,
2022-12-30,28,20,22,27,21,28,18,31,21,30,28,23,18,23,20,19,27,,,,,,,,,,,,,,,,,,,
2022-12-31,28,18,29,31,41,32,20,36,28,34,40,35,27,26,23,23,41,,,,,,,,,,,,,,,,,,,
